participant_id,group,hours,measurement_before,measurement_after
141,B,1.49,59.16,65.66
142,B,3.27,49.92,58.18
143,B,3.36,42.16,48.84
144,B,5.24,58.06,65.32
145,A,5.38,37.08,39.9
146,A,2.6,61.41,62.38
147,B,3.44,59.39,63.98
148,A,3.27,64.06,66.42
149,A,5.73,53.75,53.63
150,B,2.08,52.44,53.91
151,A,1.49,50.77,56.39
152,B,2.8,58.1,64.57
153,B,2.23,50.66,58.33
154,B,2.61,44.94,49.51
155,A,1.99,48.65,50.65
156,A,4.23,45.47,46.49
157,B,3.92,40.52,46.83
158,B,4.53,65.26,69.44
159,A,2.61,45.08,47.99
160,A,4.56,48.26,51.58
161,A,2.37,56.59,56.07
162,A,2.24,58.42,61.36
163,B,3.15,48.93,58.28
164,A,1.97,58.23,57.54
165,B,3.24,41.73,47.88
166,A,2.41,52.51,57.12
167,A,3.08,46.66,46.6
168,A,4.21,50.95,54.47
169,A,4.22,42.88,41.12
170,A,2.22,55.26,58.58
171,B,3.91,41.18,48.13
172,A,1.24,53.17,52.11
173,B,3.14,52.05,61.85
174,A,3.01,42.56,37.99
175,A,2.92,36.46,35.85
176,B,4.37,55.61,62.9
177,A,2.83,53.92,53.86
178,A,3.15,49.3,52.51
179,A,2.91,53.28,56.72
180,A,4.67,40.03,42.85
181,B,3.64,47.21,57.34
182,B,3.18,54.94,59.46
183,A,2.28,65.54,66.9
184,B,4.3,43.22,48.95
185,B,3.09,55.02,60.06
186,A,4.11,39.6,38.07
187,A,5.34,55.74,57.53
188,B,2.33,53.8,64.12
189,B,3.8,52.4,59.54
190,A,3.92,59.95,60.92
191,A,3.51,60.08,60.28
192,B,2.88,52.26,56.18
193,A,4.47,58.03,58.44
194,B,4.64,50.0,55.63
195,A,4.31,52.19,55.63
196,A,2.08,61.36,62.38
197,B,3.37,43.89,51.35
198,A,4.81,45.22,43.13
199,B,4.31,50.89,59.01
200,A,3.52,48.49,51.22
201,B,3.63,51.59,55.69
202,B,1.77,31.67,38.29
203,B,3.11,45.4,52.04
204,A,2.81,51.11,54.58
205,B,2.88,56.86,62.97
206,B,2.82,60.57,72.91
207,A,2.06,36.85,41.04
208,B,2.87,62.55,66.66
209,B,2.77,45.6,51.75
210,B,1.93,40.69,47.51
211,B,2.34,66.03,69.47
212,B,3.24,45.47,51.43
213,B,1.52,53.23,60.33
